pais;iso3;anio;valor_en_porcentaje;anioString;colorPais
Australia;AUS;1973;5.588665;1973;#C43E3E
Austria;AUT;1973;20.17739;1973;#4B4BB0
Bélgica;BEL;1973;0.19139794;1973;#608584
Bangladesh;BGD;1973;5.024387;1973;#608584
Bulgaria;BGR;1973;3.2605417;1973;#FF7B03
Argentina;ARG;1973;2.2839267;1973;#FF7B03
Brasil;BRA;1973;26.067352;1973;#006CBA
Chile;CHL;1973;17.450201;1973;#000000
Mundo;OWID_WRL;1973;6.872115;1973;#ABBABA
Canadá;CAN;1973;27.474419;1973;#006CBA
Suiza;CHE;1973;34.763435;1973;#000000
China;CHN;1973;3.417015;1973;#C43E3E
Colombia;COL;1973;15.555398;1973;#C43E3E
República Checa;CZE;1973;0.57063675;1973;#4B4BB0
Alemania;DEU;1973;2.0752115;1973;#4B4BB0
Argelia;DZA;1973;4.175826;1973;#720034
Egipto;EGY;1973;15.458054;1973;#608584
España;ESP;1973;15.124355;1973;#FF7B03
Francia;FRA;1973;8.632648;1973;#000000
Reino Unido;GBR;1973;3.404124;1973;#C43E3E
Hungría;HUN;1973;0.12081837;1973;#720034
Indonesia;IDN;1973;3.7743795;1973;#720034
India;IND;1973;12.607008;1973;#608584
Irán;IRN;1973;3.5577044;1973;#608584
Italia;ITA;1973;8.123724;1973;#ABBABA
Japón;JPN;1973;5.5749536;1973;#ABBABA
Luxemburgo;LUX;1973;0.2993406;1973;#C43E3E
Marruecos;MAR;1973;9.094625;1973;#4B4BB0
México;MEX;1973;9.648298;1973;#4B4BB0
Malasia;MYS;1973;5.646239;1973;#720034
Países Bajos;NLD;1973;0.36571285;1973;#720034
Nueva Zelanda;NZL;1973;39.168327;1973;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1973;3.941008;1973;#FF7B03
Pakistán;PAK;1973;14.215199;1973;#FF7B03
Perú;PER;1973;19.269955;1973;#FF7B03
Polonia;POL;1973;0.45816857;1973;#006CBA
Rumania;ROU;1973;4.244083;1973;#000000
Arabia Saudita;SAU;1973;0;1973;#000000
Eslovaquia;SVK;1973;2.7478938;1973;#C43E3E
Taiwán (China);TWN;1973;5.9530554;1973;#720034
Estados Unidos;USA;1973;5.580639;1973;#608584
Venezuela;VEN;1973;6.668882;1973;#FF7B03
Sudáfrica;ZAF;1973;0.577211;1973;#FF7B03
Australia;AUS;1974;5.95511;1974;#C43E3E
Austria;AUT;1974;23.734526;1974;#4B4BB0
Bélgica;BEL;1974;0.2676896;1974;#608584
Bangladesh;BGD;1974;3.4634595;1974;#608584
Bulgaria;BGR;1974;3.6594305;1974;#FF7B03
Argentina;ARG;1974;4.342596;1974;#FF7B03
Brasil;BRA;1974;26.414951;1974;#006CBA
Chile;CHL;1974;19.770317;1974;#000000
Mundo;OWID_WRL;1974;7.675576;1974;#ABBABA
Canadá;CAN;1974;28.60637;1974;#006CBA
Suiza;CHE;1974;38.581486;1974;#000000
China;CHN;1974;3.7493546;1974;#C43E3E
Colombia;COL;1974;15.7888975;1974;#C43E3E
República Checa;CZE;1974;0.9500237;1974;#4B4BB0
Alemania;DEU;1974;2.4660115;1974;#4B4BB0
Argelia;DZA;1974;2.494738;1974;#720034
Egipto;EGY;1974;16.143082;1974;#608584
España;ESP;1974;15.479853;1974;#FF7B03
Finlandia;FIN;1974;18.06427;1974;#000000
Francia;FRA;1974;9.969419;1974;#000000
Reino Unido;GBR;1974;4.2407827;1974;#C43E3E
Hungría;HUN;1974;0.094015844;1974;#720034
Indonesia;IDN;1974;3.9022937;1974;#720034
India;IND;1974;11.425445;1974;#608584
Irán;IRN;1974;3.4556205;1974;#608584
Italia;ITA;1974;8.301662;1974;#ABBABA
Japón;JPN;1974;7.4049354;1974;#ABBABA
Luxemburgo;LUX;1974;0.43540335;1974;#C43E3E
Marruecos;MAR;1974;9.542439;1974;#4B4BB0
México;MEX;1974;9.094654;1974;#4B4BB0
Malasia;MYS;1974;5.05663;1974;#720034
Países Bajos;NLD;1974;1.1395861;1974;#720034
Nueva Zelanda;NZL;1974;40.95153;1974;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1974;4.1886034;1974;#FF7B03
Pakistán;PAK;1974;13.5965605;1974;#FF7B03
Perú;PER;1974;18.357449;1974;#FF7B03
Polonia;POL;1974;0.620982;1974;#006CBA
Rumania;ROU;1974;4.733459;1974;#000000
Arabia Saudita;SAU;1974;0;1974;#000000
Eslovaquia;SVK;1974;4.54585;1974;#C43E3E
Taiwán (China);TWN;1974;8.604859;1974;#720034
Estados Unidos;USA;1974;6.618513;1974;#608584
Venezuela;VEN;1974;7.9816513;1974;#FF7B03
Sudáfrica;ZAF;1974;0.6448366;1974;#FF7B03
Australia;AUS;1975;6.2970085;1975;#C43E3E
Austria;AUT;1975;25.034246;1975;#4B4BB0
Bélgica;BEL;1975;3.871629;1975;#608584
Bangladesh;BGD;1975;6.043976;1975;#608584
Bulgaria;BGR;1975;5.465439;1975;#FF7B03
Argentina;ARG;1975;5.64054;1975;#FF7B03
Canadá;CAN;1975;27.71457;1975;#006CBA
Brasil;BRA;1975;27.490095;1975;#006CBA
Chile;CHL;1975;21.942268;1975;#000000
Mundo;OWID_WRL;1975;8.156491;1975;#ABBABA
Suiza;CHE;1975;42.586536;1975;#000000
China;CHN;1975;3.503824;1975;#C43E3E
Colombia;COL;1975;18.878565;1975;#C43E3E
República Checa;CZE;1975;0.91022944;1975;#4B4BB0
Alemania;DEU;1975;3.254713;1975;#4B4BB0
Argelia;DZA;1975;1.3782818;1975;#720034
Egipto;EGY;1975;16.16058;1975;#608584
España;ESP;1975;13.414354;1975;#FF7B03
Finlandia;FIN;1975;17.08967;1975;#000000
Francia;FRA;1975;11.624997;1975;#000000
Reino Unido;GBR;1975;4.079702;1975;#C43E3E
Hungría;HUN;1975;0.17870052;1975;#720034
Indonesia;IDN;1975;3.3421185;1975;#720034
India;IND;1975;12.693411;1975;#608584
Irán;IRN;1975;3.1140482;1975;#608584
Italia;ITA;1975;9.101361;1975;#ABBABA
Japón;JPN;1975;8.207497;1975;#ABBABA
Luxemburgo;LUX;1975;0.45285672;1975;#C43E3E
Marruecos;MAR;1975;7.134391;1975;#4B4BB0
México;MEX;1975;7.7844524;1975;#4B4BB0
Malasia;MYS;1975;4.8979263;1975;#720034
Países Bajos;NLD;1975;1.461569;1975;#720034
Nueva Zelanda;NZL;1975;43.82888;1975;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1975;4.0131335;1975;#FF7B03
Pakistán;PAK;1975;14.901722;1975;#FF7B03
Perú;PER;1975;18.165419;1975;#FF7B03
Polonia;POL;1975;0.5374193;1975;#006CBA
Rumania;ROU;1975;4.793049;1975;#000000
Arabia Saudita;SAU;1975;0;1975;#000000
Eslovaquia;SVK;1975;3.5232208;1975;#C43E3E
Taiwán (China);TWN;1975;8.733823;1975;#720034
Estados Unidos;USA;1975;7.673963;1975;#608584
Venezuela;VEN;1975;8.893406;1975;#FF7B03
Sudáfrica;ZAF;1975;0.59844273;1975;#FF7B03
Australia;AUS;1976;5.7934213;1976;#C43E3E
Austria;AUT;1976;20.905321;1976;#4B4BB0
Bélgica;BEL;1976;5.2734094;1976;#608584
Bangladesh;BGD;1976;5.868124;1976;#608584
Bulgaria;BGR;1976;8.146262;1976;#FF7B03
Canadá;CAN;1976;28.393713;1976;#006CBA
Argentina;ARG;1976;5.2805696;1976;#FF7B03
Brasil;BRA;1976;28.666958;1976;#006CBA
Chile;CHL;1976;21.900364;1976;#000000
Suiza;CHE;1976;37.609077;1976;#000000
Mundo;OWID_WRL;1976;7.9901023;1976;#ABBABA
China;CHN;1976;3.3725686;1976;#C43E3E
Colombia;COL;1976;19.034077;1976;#C43E3E
República Checa;CZE;1976;0.7058947;1976;#4B4BB0
Alemania;DEU;1976;3.207044;1976;#4B4BB0
Argelia;DZA;1976;1.4010222;1976;#720034
Egipto;EGY;1976;15.923643;1976;#608584
España;ESP;1976;10.660241;1976;#FF7B03
Finlandia;FIN;1976;12.514575;1976;#000000
Francia;FRA;1976;8.988821;1976;#000000
